"installid"	"sessionid"	"time"	"lat"	"lng"	"accuracy"
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:56:11"	40.7170706	-73.998521	20.693
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:55:10"	40.717206	-73.9986587	19.88
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:58:14"	40.7158747	-73.9993473	20.414
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:57:12"	40.7165499	-73.9989341	20.089
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:05:38"	40.7149035	-73.9998523	20.742
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:04:36"	40.7157239	-73.9994623	38.558
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:03:36"	40.7156023	-73.9996538	39.162
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:02:35"	40.714749	-73.9998523	19.96
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:01:34"	40.7151222	-73.9997605	23.678
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:00:32"	40.715834	-73.9996511	84.095
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 18:59:31"	40.7158077	-73.9996718	44.503
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:14:48"	40.7186363	-73.9994851	20.098
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:13:47"	40.7177745	-73.9999441	20.043
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:12:46"	40.717357	-74.000541	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:11:45"	40.7169892	-74.000796	55.502
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:10:44"	40.7161615	-74.0016731	64.048
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:09:43"	40.7154216	-74.0018723	21.997
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:08:42"	40.7147568	-74.0016001	116.684
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:07:41"	40.7142321	-74.0001135	46.899
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:06:39"	40.7146908	-73.9997146	25.398
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:24:54"	40.7213751	-73.9975569	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:23:53"	40.720089	-73.9982914	19.892
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:22:52"	40.7196777	-73.9986587	20.442
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:21:51"	40.7193175	-73.9988423	22.059
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:19:29"	40.7192854	-73.9988882	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:18:28"	40.7192854	-73.9988882	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:17:27"	40.7196328	-73.9985938	42.268
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:15:49"	40.7191379	-73.9992096	21.712
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:37:49"	40.7240514	-73.9968223	20.443
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:36:48"	40.7236331	-73.9968682	20.307
